faculty_id,name
1,Michael Rivera
2,Malik Johnson
3,Anthony Booth
4,Renee Norman
5,Joseph Gomez
6,Kelly Henson
7,Charles Taylor
8,Jimmy Cooper
9,Dana Terry
10,Amber Alexander
11,Barbara Preston
12,Lisa Walter
13,Andrew King
14,Mason Cohen
15,Renee Evans
16,Bruce Weaver
17,Ruben Berg
18,Billy Jones
19,Nancy Castro
20,Pamela Butler
21,Patricia Morris
22,Anna Reyes
23,Jason Johnson
24,Stephanie Randall
25,Ashley Kane
26,Timothy Pratt
27,Caitlyn Jones
28,Cody Rodriguez
29,Tamara Arnold
30,Sharon Thompson
31,Paul Gonzales
32,Justin Howard
33,Amy West
34,Valerie Fischer
35,Christine Glover
36,Karen Rice
37,Martin Rose
38,James Campbell
39,Nancy Robinson
40,Lisa Smith
41,Seth Fernandez
42,Adam Yang
43,Rachel King
44,Rachel Miller
45,Andrew Estrada
46,Kenneth Gonzalez
47,Brady Conley
48,Jim Chapman
49,Jennifer Adams
50,Anna Colon
51,Christopher Burke
52,Denise Koch
53,Rhonda Johnson
54,Tony Rivera
55,Micheal Murphy
56,Robert Dickerson
57,Alicia Smith
58,Jonathon Gregory
59,Chris Manning
60,Erin Caldwell
61,Michelle Cook
62,Jose Howell
63,Cory Shea
64,Jeffrey Henry
65,Kim Crawford
66,Amy Jones
67,Erica Campbell
68,Carlos Sullivan
69,Christina Miranda
70,Lisa Edwards
71,Jodi Huffman
72,Phillip Lee
73,Edward Lopez
74,Danielle Smith
75,James Lopez
76,Shelby Mejia
77,Shane Morris
78,William Young
79,Bethany Branch
80,Abigail White
81,Derek Miles
82,Dr. Raymond Johnson
83,Kimberly Malone
84,Lisa Hill
85,Joseph Patel
86,Amanda Macdonald
87,Jessica Flores
88,Kelsey Sanders
89,Scott Hancock
90,Jennifer Hurst
91,Thomas Waller
92,Grace Coleman
93,Ashley Mason
94,Lori Miller
95,Joseph Harrell
96,Lori Cooper
97,Brenda Mitchell
98,Donald Castaneda
99,Rachel Payne
100,Jonathan Dillon
